firstName,lastName,DOB,birthCountry,deathDate,careerStart,careerEnd
Stephen,Unterfranz,,,,,
Peter,Young,,,,1968,
Donald,Brooks,1928-01-01,United States,2005-08-01,,
Japhet,Asher,1961-01-01,United Kingdom,,1980,
Paul,Groesse,1906-01-01,Hungary,1987-05-01,1937,1967
Alice,Arlen,1940-01-01,United States,2016-02-29,,
Rod,Steiger,1925-01-01,United States,2002-07-09,1946,2002
J.,Schwalm,,,,,
Stephen,Rivkin,1955-01-01,United States,,,
Andrew,Watt,1990-01-01,United States,,2007,
Lorenzo,Mongiardino,1916-01-01,Italy,1998-01-01,1944,1998
Tom,Cross,,United States,,1997,
Gregory,Nava,1949-01-01,United States,,,
Sam,O'Steen,1923-01-01,United States,2000-10-11,1960,2000
Blake,Edwards,1922-01-01,United States,2010-12-15,1942,2008
Mac,Ruth,,,,1990,
Dávid,Jancsó,,,,,
Budd,Schulberg,1914-01-01,United States,2009-08-05,,
Benoît,Charest,1964-01-01,Canada,,,
Osamu,Furuya,,,,,
Kenneth,Utt,1921-01-01,United States,1994-01-19,,
Arthur,Clarke,1917-01-01,United Kingdom,2008-03-01,,
Chris,Moore,,United States,,,
Frank,Montaño,,,,1987,
Ruth,Chatterton,1892-01-01,United States,1961-11-24,1908,1953
Geneviève,Bujold,1942-01-01,Canada,,1962,
Nat,Sanders,1980-01-01,United States,,,
Marc,Pontavice,1963-01-01,France,,,
Al,Dubin,1891-01-01,Switzerland,1945-02-11,1909,1909
Richard,Price,1949-01-01,United States,,,
Djimon,Hounsou,1964-01-01,Dahomey,,1986,
Johnny,Burke,1908-01-01,United States,1964-02-25,1926,1964
Carlo,Rambaldi,1925-01-01,Italy,2012-08-10,1963,2006
Esteban,Crespo,1971-01-01,Spain,,1991,
Gérard,James,,,,1974,1999
Laurence,Harvey,1928-01-01,Lithuania,1973-11-01,1948,1973
Bruce,Davey,,Australia,,,
Paul,Story,,,,,
Stephen,Frears,1941-01-01,United Kingdom,,1968,
Thomas,Moulton,1896-01-01,United States,1967-03-29,1934,1952
Frank,Cordell,1918-06-01,United Kingdom,1980-07-01,,
Laura,Poitras,1964-01-01,United States,,,
Brady,Corbet,1988-01-01,United States,,2000,
Ruth,Negga,1981-01-01,Ethiopia,,2003,
Dick,Richards,1936-01-01,United States,,,
Buffy,Sainte-Marie,1941-01-01,United States,,1963,2023
Bo,Persson,,,,1979,
Emeric,Pressburger,1902-01-01,Austria-Hungary,1988-02-01,,
Ben,Procter,,,,,
Melissa,Mathison,1950-01-01,United States,2015-11-04,1979,2015
Scott,Edelstein,,,,,
Jeremy,Molod,,,,,
Peter,Davis,1937-01-01,United States,,,
Catherine,Leterrier,1942-01-01,France,,1973,
Myles,Connolly,1897-01-01,United States,1964-07-15,1920,1964
Ruth,Myers,1940-01-01,United Kingdom,,1967,
Diane,Kurys,1948-01-01,France,,1966,
Terry,Rawlings,1933-01-01,United Kingdom,2019-04-01,1962,2004
A,Sullen,1971-01-01,United States,,1994,
Ralph,Hurst,1917-01-01,Georgia,1972-07-26,1937,1972
Baz,Luhrmann,1962-01-01,Australia,,1982,
Michael,Carter,,,2004-09-01,1984,2004
The,Weeknd,1990-01-01,Canada,,2009,
Michael,Tollin,,United States,,1982,
William,Gray,1896-01-01,United States,1946-12-16,1929,1938
Philip,Jefferies,1925-01-01,United States,1987-04-06,1954,1987
Vincente,Minnelli,1903-01-01,United States,1986-07-25,1919,1976
Bob,GodfreyMBE,1921-01-01,Australia,2013-02-01,,
Fred,Haines,1936-01-01,United States,2008-05-04,,
Morton,Schindel,1918-04-23,United States,2016-08-20,1948,2016
Justine,Triet,1978-01-01,France,,2007,
Kenneth,Smith,,,,1980,2003
Chaim,Topol,1935-01-01,Palestine,2023-03-01,1957,2015
Wally,Pfister,1961-01-01,United States,,1988,
Samuel,Comer,1893-01-01,United States,1974-12-27,1934,1968
John,Jackson,,,,1991,
Frank,Perry,1930-01-01,United States,1995-08-29,1955,1992
Ron,Howard,1954-01-01,United States,,1959,
Matthew,Libatique,1968-01-01,United States,,1993,
Olle,Nordemar,1914-01-01,Sweden,1999-02-01,1932,1983
Leonardo,DiCaprio,1974-01-01,United States,,1989,
Owen,Wilson,1968-01-01,United States,,1994,
Jean,René,1983-01-01,France,,,
Anthony,Newley,1931-01-01,United Kingdom,1999-04-01,1947,1999
Maren,Ade,1976-01-01,Germany,,2000,
Henry,Blanke,1901-01-01,Germany,1981-05-28,,
Charles,Rice,,,,1960,1963
JoAnne,Sellar,1963-02-01,United Kingdom,,,
Jack,Lemmon,1925-01-01,United States,2001-06-27,1949,2001
Alain,Gagnol,1967-01-01,France,,1997,
Piper,Laurie,1932-01-01,United States,2023-10-14,1949,2023
Emma,Thompson,1959-01-01,United Kingdom,,1982,
Eric,Orbom,1915-01-01,Sweden,1959-05-23,1950,1959
Andrew,Lesnie,1956-01-01,Australia,2015-04-01,1978,2014
Michael,Ford,1928-01-01,United Kingdom,2018-05-01,1960,1999
Kevin,Macdonald,1967-01-01,Scotland,,1994,
Dev,Patel,1990-01-01,United Kingdom,,2006,
John,Houseman,1902-01-01,Romania,1988-10-31,1930,1988
Callie,Crossley,,United States,,,
Wendy,Hiller,1912-01-01,United Kingdom,2003-05-01,1935,1993
Charles,Clarke,1899-01-01,United States,1983-07-01,1920,1920
Greg,Orloff,,,,1979,
George,Amy,1903-01-15,United States,1986-12-18,,
Joseph,ASC,1900-01-01,United States,1989-08-20,,
Maxence,Dussère,,,,,
Alan,Silvestri,1950-01-01,United States,,1972,
Hugh,McCollum,1900-01-01,United States,1968-03-16,1929,1960
Paul,McCartney,1942-01-01,United Kingdom,,1957,
Ruth,Carter,1960-01-01,United States,,1982,
Stirling,Silliphant,1918-01-16,United States,1996-04-26,,
Deborah,Landis,1952-01-01,,,1977,2010
Jack,Solomon,1913-01-01,United States,2002-11-08,1953,1991
Mark,Warner,1954-01-01,,,1978,
Judy,Garland,1922-01-01,United States,1969-06-22,1924,1969
Aron,Warner,,United States,,1984,
David,Blewitt,1928-08-07,United States,2010-07-08,,
Kirk,Simon,1954-01-01,United States,2018-04-14,1984,2018
Dorothy,Fields,1904-01-01,United States,1974-03-28,,
Lawrence,Lasker,1949-01-01,United States,,,
Mary,Blige,1971-01-01,United States,,1988,
David,Parfitt,1958-01-01,United Kingdom,,1971,
Edward,Bond,1934-01-01,United Kingdom,2024-03-01,,
George,Burns,1896-01-01,United States,1996-03-09,1902,1996
Frédéric,Back,1924-01-01,United States,2013-12-24,1946,1993
Doug,Mowat,,,,1986,
Stéphanie,Guillon,,,,,
Harry,Sukman,1912-01-01,United States,1984-12-02,,
William,Murphy,1908-01-09,United States,1970-07-02,,
Joslyn,Barnes,,,,,
Survivor,,1950-01-01,United States,,1964,
Pamela,Wallace,1949-01-01,United States,,,
Pippa,Harris,1967-01-01,United Kingdom,,,
Albert,Berger,,,,,
Kate,Winslet,1975-01-01,United Kingdom,,1991,
Lisa,Blount,1957-01-01,United States,2010-10-25,1977,2010
Gregg,Landaker,1951-01-01,,,1979,2017
Gene,Cantamessa,1931-01-01,United States,2011-11-08,1969,1999
Melissa,McCarthy,1970-01-01,United States,,1997,
Duke,Ellington,1899-01-01,United States,1974-05-24,1914,1974
George,Montgomery,1899-01-01,,1951-03-05,1941,1951
King,Vidor,1894-01-01,United States,1982-11-01,1913,1980
Anders,Jensen,1972-01-01,Denmark,,,
Rickard,Göransson,1983-01-01,,,2007,
Mikael,Salomon,1945-01-01,Denmark,,1963,2021
Yves,Piat,,France,,2001,
Jeff,Chandler,1918-01-01,United States,1961-06-17,1945,1961
Agnieszka,Holland,1948-01-01,Poland,,1973,
Mary,Nyberg,1923-01-01,United States,1979-09-19,1953,1955
Robert,Swarthe,1942-01-01,,,1968,1983
Lora,Hirschberg,1963-01-01,United States,,1990,
Nicholas,Musuraca,1892-01-01,Italy,1975-09-03,1922,1966
Ednaswap,,1965-01-01,United States,,,
Ryan,Tudhope,,,,,
David,Bradbury,,,,1972,
Peter,MBE,1919-01-01,United Kingdom,2007-11-01,,
Audrey,Hepburn,1929-01-01,Belgium,1993-01-01,1948,1989
Elizabeth,Reinhardt,1909-01-21,United States,1954-01-21,,
Consolata,Boyle,,,,1984,
Ava,DuVernay,1972-01-01,United States,,,
Ruggero,Maccari,1919-06-01,Italy,1989-05-01,,
Franz,Waxman,1906-01-01,Germany,1967-02-24,,
Paul,Haggis,1953-01-01,Canada,,1975,
Al,Ham,1925-01-01,United States,2001-10-04,,
Mayes,Rubeo,1962-01-01,Mexico,,1986,
Ted,Kent,1901-01-01,United States,1986-06-17,1927,1967
Martin,Zandvliet,1971-01-01,Denmark,,2002,
Samuel,Taylor,1912-01-01,United States,2000-05-26,,
Ariane,Mnouchkine,1939-01-01,France,,1964,
Nelson,Gidding,1919-01-01,United States,2004-05-02,,
Adrienne,Fazan,1906-05-09,Germany,1986-08-23,,
Danny,Glicker,,,,,
Chris,Tashima,1960-01-01,United States,,1985,
Luciana,Arrighi,1940-01-01,Brazil,,1965,
Mack,Gordon,1904-01-01,,1959-02-28,,
Donald,Stewart,1894-01-01,United States,1980-08-02,,
Zachary,Heinzerling,1984-01-01,United States,,,
Nicolaj,Arcel,1972-01-01,Denmark,,1999,
Jane,Wyman,1917-01-01,United States,2007-09-10,1934,1993
Paolo,Sorrentino,1970-01-01,Italy,,1994,
William,McCaughey,1929-01-01,United States,2000-05-26,1970,1992
Gillian,Welch,1967-01-01,United States,,1996,
Jill,Bilcock,1948-01-01,Australia,,,
Jean-Xavier,Lestrade,1963-01-01,France,,1989,
Ru,Kuwahata,,,,2003,
John,Tribby,1903-01-01,United States,1983-02-01,1929,1951
Vivien,Leigh,1913-01-01,India,1967-07-01,1935,1967
Mischa,Auer,1905-01-01,Russia,1967-03-01,1925,1967
Sam,Shepard,1943-01-01,United States,2017-07-27,1963,2017
Joe,Alves,1936-01-01,United States,,1956,2000
Stéphane,Ceretti,1973-01-01,France,,1996,
Scott,Rudin,1958-01-01,United States,,1978,2021
Jordan,Horowitz,1980-01-01,United States,,,
Moctesuma,Esparza,1949-01-01,United States,,1973,
Lynne,Littman,1941-01-01,United States,,,
Trisha,Edwards,,,,1980,2009
Pandro,Berman,1905-01-01,United States,1996-07-13,1923,1970
Alex,Garland,1970-01-01,United Kingdom,,1996,
Hughes,Winborne,1952-01-01,United States,,1980,
Charles,Guggenheim,1924-01-01,United States,2002-10-09,1952,2002
Sjón,Sigurðsson,1962-01-01,Iceland,,,
Joseph,Schildkraut,1896-01-01,Austria-Hungary,1964-01-01,1915,1964
James,Mather,,,,1984,
Dick,Pope,1947-01-01,United Kingdom,2024-10-01,1968,2024
James,Monaco,1885-01-01,Italy,1945-10-16,1911,1945
Michael,Fink,,,,,
Vincent,Korda,1897-01-01,Austria-Hungary,1979-01-01,1918,1964
Freddie,Francis,1917-01-01,United Kingdom,2007-03-01,1937,1999
Merian,Cooper,1893-01-01,United States,1973-04-21,,
Jack,Cardiff,1914-01-01,United Kingdom,2009-04-01,1918,2007
Johan,Grimonprez,,,,,
Bille,August,1948-01-01,Denmark,,1978,
Anthony,Hopkins,1937-01-01,Wales,,1960,
Bob,Gale,1951-01-01,United States,,1973,
Jan,Stussy,1921-01-01,United States,1990-07-31,,
Shelley,Winters,1920-01-01,United States,2006-01-14,1936,1999
Russell,Shearman,1908-01-01,United States,1956-05-05,1946,1956
Christopher,Benstead,,United Kingdom,,2004,
Cheryl,Carasik,1952-01-01,,,1985,
Ryusuke,Hamaguchi,1978-01-01,Japan,,2001,
Carole,Eastman,1934-02-19,United States,2004-02-13,,
Mildred,Griffiths,1894-01-01,United States,1949-05-24,1943,1948
Boris,Kaufman,1906-01-01,Russia,1980-06-24,,
Nick,Adams,1931-01-01,United States,1968-02-07,1952,1968
Michael,Stringer,1924-01-01,Singapore,2004-03-01,1952,1990
Frank,Loesser,1910-01-01,United States,1969-07-28,1931,1968
Brandon,Proctor,,,,,
Christoph,Waltz,1956-01-01,Austria,,1977,
Paul,Hirsch,1945-01-01,United States,,1970,
Lionel,Newman,1916-01-01,United States,1989-02-03,1932,1985
Allen,Hall,1946-01-01,United States,,1979,
Karl,Freund,1890-01-01,Austria-Hungary,1969-05-03,1907,1960
Jon,Harris,1967-01-01,United Kingdom,,,
John,Garfield,1913-01-01,United States,1952-05-21,1932,1952
Arthur,Ibbetson,1922-01-01,United Kingdom,1997-10-01,1949,1986
Douglas,McGrath,1958-01-01,United States,2022-11-03,1980,2022
Jim,Miller,1955-01-01,United States,,,
Fábio,Barreto,1957-01-01,Brazil,2019-11-20,1977,2009
Joaquin,Phoenix,1974-01-01,Puerto Rico,,1982,
Cedric,Gibbons,1890-01-01,United States,1960-07-26,1919,1956
Tom,Wilkinson,1948-01-01,United Kingdom,2023-12-01,1976,2023
R.,White,,,,1996,
Anthony,Veiller,1903-01-01,United States,1965-06-27,1934,1964
Isaac,Hayes,1942-01-01,United States,2008-08-10,1950,2008
Bob,Dylan,1941-01-01,United States,,1957,
Fred,Jr.,1909-01-01,United States,1987-12-21,,
Robert,Richardson,1955-01-01,United States,,1981,
Son,Lux,1979-01-01,United States,,,
Robert,Thompson,1924-01-01,United States,2004-02-11,,
Don,Hertzfeldt,1976-01-01,United States,,,
Clive,Owen,1964-01-01,United Kingdom,,1987,
Walter,Huston,1883-01-01,Canada,1950-04-07,1902,1950
Alfred,Herman,1889-09-08,United States,1973-12-01,1933,1952
Saul,Chaplin,1912-01-19,United States,1997-11-15,1931,1997
Gladys,Lehman,1892-01-01,United States,1993-04-07,,
Danny,Michael,,,,1976,
Robert,Lewin,1920-01-01,United States,2004-08-28,1956,1988
Richard,Condie,1942-01-01,Canada,,1971,
Sam,Rockwell,1968-01-01,United States,,1988,
Tom,Barry,1885-01-01,United States,1931-11-07,,
Tom,Tully,1908-01-01,United States,1982-04-27,1937,1973
Lyle,Reifsnider,1901-01-01,United States,1980-12-09,1946,1962
István,Szabó,1938-01-01,Hungary,,1959,
John,Hawkes,,,,1984,
Wolfgang,Petersen,1941-01-01,Germany,2022-08-01,1953,2016
Edward,Heyman,1907-01-01,,1981-10-16,,
Florence,Klotz,1920-01-28,United States,2006-11-01,,
Ted,Caplan,,,,,
Ezio,Frigerio,1930-01-01,Italy,2022-02-01,,
Lexi,Alexander,1974-01-01,Germany,,2002,
Sławomir,Fabicki,1970-01-01,Poland,,1997,
Bo,Welch,,United States,,1979,
Carol,Reed,1906-01-01,United Kingdom,1976-04-01,1935,1972
Jonathan,Hardy,1940-01-01,New Zealand,2012-07-01,1971,2012
Joss,Whedon,1964-01-01,United States,,1989,
Henry,Hathaway,1898-01-01,United States,1985-02-11,1925,1974
Peter,Sellers,1925-01-01,United Kingdom,1980-07-01,1925,1980
Josh,Brolin,1968-01-01,United States,,1977,
Bennett,Miller,1966-01-01,United States,,1998,
Zhang,Yimou,1950-01-01,China,,,
Charles,Fox,1940-01-01,United States,,1965,
Oliver,Tarney,,,,1997,
Steven,Morrow,,,,1994,
Oren,Moverman,1966-01-01,Israel,,,
Johnny,Green,1908-01-01,United States,1989-05-15,1930,1989
Jeremy,Kleiner,1976-01-01,,,2000,
John,Mack,1927-01-01,,2021-12-24,1956,1993
David,Lean,1908-01-01,United Kingdom,1991-04-01,1930,1991
Gary,Roach,1964-01-01,,,,
Toshio,Suzuki,1948-01-01,Japan,,1972,
Charles,Schoenbaum,1893-01-01,United States,1951-01-21,,
R.,Layton,1884-01-01,United Kingdom,1941-11-01,1937,1940
Sean,Phillips,,,,1989,
Christian,Rivers,1974-01-01,New Zealand,,1992,
Marie-Christine,Barrault,1944-01-01,France,,1967,
Holly,Hunter,1958-01-01,United States,,1981,
Randall,Wallace,1949-01-01,United States,,,
Frank,Hughes,1893-06-14,United States,1947-04-26,1927,1947
Julius,Epstein,1909-01-01,United States,2000-12-30,,
Heatwave,,1949-01-01,United Kingdom,2016-09-01,1974,2016
Joe,Letteri,1957-01-01,United States,,1989,
Elizabeth,Haffenden,1906-01-01,United Kingdom,1976-05-01,1934,1975
Ivan,Sharrock,1941-01-01,,,1967,
Jerry,Wald,1911-01-01,United States,1962-07-13,1932,1962
George,Folsey,1898-01-01,United States,1988-11-01,1919,1976
Johnny,Mandel,1925-01-01,United States,2020-06-29,1938,2020
Ellen,Kent,,,,1992,
Akiva,Goldsman,1962-01-01,United States,,1994,
Dorothy,Fadiman,1939-01-01,United States,,,
Philip,Lathrop,1912-01-01,United States ,1995-04-12,,
Eva,Bahr,1968-01-01,,,,
Charlotte,Gournerie,1989-01-01,France,,2012,
Douglas,Murray,,,,,
Peter,Devlin,,,,1988,
Yang,Jin-mo,,South Korea,,2005,
William,Sandell,1950-01-01,United States,,1973,
Christian,Berger,1945-01-01,Germany,,1968,
David,Giammarco,,,,1985,
Martin,Poll,1922-11-24,United States,2012-04-14,,
Robert,Stack,1919-01-01,United States,2003-05-14,1934,2003
Alison,Snowden,1958-01-01,United Kingdom,,,
Sophia,Allison,1987-01-01,United States,,,
John,Farrar,1946-01-01,Australia,,1961,
Stephen,Rivele,1949-01-01,United States,2024-05-17,,
Gus,Kahn,1886-01-01,Germany,1941-10-08,,
Patricia,Dehaney,,,,,
Counting,Crows,1966-01-01,United States,,1994,1994
Harry,Chandlee,1882-12-07,United States,1956-08-03,1914,1949
Josie,MacAvin,1919-01-01,Ireland,2005-01-01,1943,2002
Suzi,Battersby,,,,,
Madeline,Fontaine,,France,,,
Robin,Lehman,1936-01-01,,,,
Brad,Bird,1957-01-01,United States,,1979,
Dudley,Murphy,1897-01-01,United States,1968-02-22,,
Robert,Ryan,1909-01-01,United States,1973-07-11,1940,1973
Edwin,Imazu,1897-01-01,Japan,1979-05-01,1927,1967
Ben,Hecht,1894-01-01,United States,1964-04-18,1916,1964
Neil,Young,1945-01-01,Canada,,1963,
Steven,Haft,1949-01-01,United States,,,
Terry,Rossio,1960-01-01,,,1989,
Patrick,McClung,,,,1979,2011
Luca,Guadagnino,1971-01-01,Italy,,1997,
William,Daniels,1901-01-01,United States,1970-06-14,1919,1970
Austin,Butler,1991-01-01,United States,,2005,
Andrew,Jones,,,,1997,
Oswald,Morris,1915-01-01,United Kingdom,2014-03-01,1932,1982
Scott,Conrad,1944-01-01,,,,
Ernest,Pintoff,1931-01-01,United States,2002-01-01,,
Fredric,Hope,1900-01-01,United States,1937-04-20,1927,1937
Akira,Kurosawa,1910-01-01,Japan,1998-09-06,1936,1993
Peter,Morgan,1963-01-01,United Kingdom,,,
Robert,Mulligan,1925-01-01,United States,2008-12-20,1948,1992
Richard,Grant,1957-01-01,Eswatini,,1980,
Fernanda,Torres,1965-01-01,Brazil,,1979,
Samuel,Jr.,1926-01-01,United States,2015-01-09,1948,2015
Diablo,Cody,1978-01-01,United States,,2003,
Van,Polglase,1898-01-01,United States,1968-12-20,1919,1957
Max,Terr,1889-01-01,Russia,1951-08-02,1918,1950
Henry,Grace,1907-01-01,,1983-09-16,1935,1970
Jacques,Rouxel,,,,1981,
Maggie,Gyllenhaal,1977-01-01,United States,,1992,
Pierre,Schoendoerffer,1928-01-01,France,2012-03-01,,
David,Watkins,,,,,
David,Hall,1905-01-01,Northern Ireland,1964-07-01,1928,1965
John,Hall,,,1997-06-08,,
Stephen,Schwartz,1948-01-01,United States,,1969,
John,Graysmark,1935-01-01,,2010-10-01,1957,2005
T.J.,Martin,1979-01-01,United States,,2002,
Cecil,Lewis,1898-01-01,United Kingdom,1997-01-01,,
Tristan,Versluis,,,,,
Hanif,Kureishi,1954-01-01,United Kingdom,,,
Alan,Bennett,1934-01-01,United Kingdom,,1960,
Tim,Rice,1944-01-01,United Kingdom,,1965,
Charlie,Noble,,,,,
Juliette,Howell,,,,,
Pato,Pierart,1982-01-01,Chile,,2014,
Sol,Siegel,1903-01-01,Russia,1982-12-29,1934,1968
Faye,Dunaway,1941-01-01,United States,,1962,
Philippe,Turlure,,,,,
Sol,Polito,1892-01-01,Italy,1960-05-23,1914,1949
Marc,Frédérix,1919-01-01,France,2004-01-01,1950,1984
Kimberlee,Acquaro,,,,,
Emir,Kusturica,1954-01-01,Yugoslavia,,1978,
Adrian,Lyne,1941-01-01,United Kingdom,,1976,
Bob,Murawski,1964-01-01,United States,,,
Shirley,Kurata,1970-01-01,United States,,,
Barbara,Kopple,1946-01-01,United States,,,
Albert,Brooks,1947-01-01,United States,,1969,
Stuart,Gilmore,1909-01-01,United States,1971-11-19,1927,1971
Paddy,Chayefsky,1923-01-01,United States,1981-08-01,1944,1980
Joe,Mantell,1915-01-01,United States,2010-09-29,1949,1990
Valentine,Davies,1905-01-01,United States ,1961-07-23,,
Grover,Jones,1893-01-01,United States,1940-09-24,1920,1940
Rodney,Burke,,,,,
Selma,Vilhunen,1976-10-01,Finland,,1999,
Cindy,Carr,,,,1983,
David,Hemingson,1964-01-01,United States,,,
Milena,Canonero,1946-01-01,Italy,,1971,
Jackie,Haley,1961-01-01,United States,,1967,
Richard,Pefferle,1905-01-01,United States,1969-03-07,1942,1969
Thomas,Varga,,,,1991,
Ahmad,Balshe,1984-01-01,Palestine,,2005,
John,Dwyer,1935-01-01,United States,2018-09-15,1966,2004
Elisabeth,Bergner,1897-01-01,Austria-Hungary,1986-05-01,1924,1984
Hamilton,Luske,1903-01-01,United States,1968-02-19,,
Mary,Zophres,,United States,,1994,
Mark,Stetson,1952-01-01,,,1979,
Reginald,Hudlin,1961-01-01,United States,,1983,
Steve,Kloves,1960-01-01,United States,,1984,
Donna,Gigliotti,,,,1980,
Eli,Bush,,,,2007,
Albert,Maltz,1908-01-01,United States,1985-04-26,,
Leo,Arnaud,1904-01-01,France,1991-04-26,,
SUnited Statesn,Hayward,1917-01-01,United States,1975-03-14,1937,1972
Frank,Petzold,,,,,
Marcel,Łoziński,1940-01-01,France,,1972,
Lawrence,Butler,1908-01-01,,1988-10-19,1936,1973
Peter,Craig,1969-01-01,United States,,,
Angelo,Ross,1911-01-01,,1989-09-23,,
Hugh,Martin,1914-01-01,United States,2011-03-11,1937,2011
Teddy,Schwarzman,1979-01-01,United States,,,
Stefan,Korte,,,,,
Robin,Williams,1951-01-01,United States,2014-08-11,1972,2014
John,Mollo,1931-01-01,United Kingdom,2017-10-01,1970,2003
William,Demarest,1892-01-01,United States,1983-12-28,1906,1978
Anselmo,Duarte,1920-01-01,Brazil,2009-11-07,1947,1987
Dalia,Colli,1976-01-01,Italy,,,
Bob,Jones,,,,1952,1985
Norman,Raine,1894-01-01,United States,1971-07-19,1933,1955
Victor,A.S.C.,1893-01-01,United States,1972-10-29,,
Dennis,Potter,1935-01-01,United Kingdom,1994-06-01,,
Jesse,Lasky,1880-01-01,United States,1958-01-13,,
Carol,Dysinger,,,,,
Bo,Goldman,1932-01-01,United States,2023-07-25,1958,2016
Peter,Sohn,1977-01-01,United States,,1995,
Julia,Heron,1897-01-01,United States,1977-04-09,1930,1968
Kurt,Luedtke,1939-01-01,United States,2020-08-09,,
Joseph,Bologna,1934-01-01,United States,2017-08-13,1970,2012
Eric,Roth,1945-01-01,United States,,1970,
Kumail,Nanjiani,1978-01-01,Pakistan,,2007,
Charlie,Chaplin,1889-01-01,United Kingdom,1977-12-01,1899,1975
John,Pospisil,,,,1982,2018
Phil,Tippett,1951-01-01,United States,,,
