firstName,lastName,DOB,birthCountry,deathDate,careerStart,careerEnd
David,White,,,,2004.0,
John,Mills,1908-02-22,United Kingdom,2005-04-01,1929.0,2005.0
John,Cox,1959-12-18,,,1983.0,2008.0
Robert,Russell,1912-01-19,,1992-02-11,,
Grant,Major,1955-01-01,New Zealand,,1979.0,
William,Fraker,1923-01-29,United States,2010-05-31,,
Justin,Henry,1971-05-25,United States,,1978.0,
Francis,Coppola,1939-04-07,United States,,1962.0,
Roger,Dicken,1939-04-15,United Kingdom,2024-02-01,,
Herbert,Moulton,,,,1934.0,1965.0
Bryan,Adams,1959-11-05,Canada,,1975.0,
Chuck,Jones,1912-09-21,United States,2002-02-22,1931.0,2001.0
Leigh,Harline,1907-03-26,United States,1969-12-10,,
Megan,Mylan,,United States,,,
Steve,Tesich,1942-09-29,Serbia,1996-07-01,1970.0,1996.0
Vittorio,Novarese,1907-05-15,Italy,1983-10-01,1937.0,1981.0
Martha,Scott,1912-09-22,United States,2003-05-28,1940.0,1990.0
Barry,Levinson,1942-04-06,United States,,1970.0,
Peter,O'Toole,1932-08-02,United Kingdom,2013-12-01,1954.0,2012.0
Gabriella,Pescucci,1941-01-17,Italy,,1967.0,
Matt,Charman,1979-06-05,United Kingdom,,2004.0,
Shinobu,Muraki,1923-09-02,Japan,1997-01-16,,
Terry,Porter,1954-08-11,United States,,1980.0,
Stephen,Flaherty,1960-09-18,United States,,1982.0,
Sean,Penn,1960-08-17,United States,,1974.0,
Stephen,Unterfranz,,,,,
Peter,Young,,,,1968.0,
Donald,Brooks,1928-01-09,United States,2005-08-01,,
Japhet,Asher,1961-01-14,United Kingdom,,1980.0,
Paul,Groesse,1906-02-28,Hungary,1987-05-01,1937.0,1967.0
Alice,Arlen,1940-11-06,United States,2016-02-29,,
Rod,Steiger,1925-04-14,United States,2002-07-09,1946.0,2002.0
J.,Schwalm,,,,,
Stephen,Rivkin,1955-05-05,United States,,,
Andrew,Watt,1990-10-20,United States,,2007.0,
Lorenzo,Mongiardino,1916-05-12,Italy,1998-01-01,1944.0,1998.0
Tom,Cross,,United States,,1997.0,
Gregory,Nava,1949-04-10,United States,,,
Sam,O'Steen,1923-11-06,United States,2000-10-11,1960.0,2000.0
Blake,Edwards,1922-07-26,United States,2010-12-15,1942.0,2008.0
Mac,Ruth,,,,1990.0,
Dávid,Jancsó,,,,,
Budd,Schulberg,1914-03-27,United States,2009-08-05,,
Benoît,Charest,1964-01-01,Canada,,,
Osamu,Furuya,,,,,
Kenneth,Utt,1921-07-13,United States,1994-01-19,,
Arthur,Clarke,1917-12-16,United Kingdom,2008-03-01,,
Chris,Moore,,United States,,,
Frank,Montaño,,,,1987.0,
Ruth,Chatterton,1892-12-24,United States,1961-11-24,1908.0,1953.0
Geneviève,Bujold,1942-07-01,Canada,,1962.0,
Nat,Sanders,1980-08-08,United States,,,
Marc,Pontavice,1963-01-10,France,,,
Al,Dubin,1891-06-10,Switzerland,1945-02-11,1909.0,1909.0
Richard,Price,1949-10-12,United States,,,
Djimon,Hounsou,1964-04-24,Dahomey,,1986.0,
Johnny,Burke,1908-10-03,United States,1964-02-25,1926.0,1964.0
Carlo,Rambaldi,1925-09-15,Italy,2012-08-10,1963.0,2006.0
Esteban,Crespo,1971-07-10,Spain,,1991.0,
Gérard,James,,,,1974.0,1999.0
Laurence,Harvey,1928-10-01,Lithuania,1973-11-01,1948.0,1973.0
Bruce,Davey,,Australia,,,
Paul,Story,,,,,
Stephen,Frears,1941-06-20,United Kingdom,,1968.0,
Thomas,Moulton,1896-01-01,United States,1967-03-29,1934.0,1952.0
Frank,Cordell,1918-06-01,United Kingdom,1980-07-01,,
Laura,Poitras,1964-02-02,United States,,,
Brady,Corbet,1988-08-17,United States,,2000.0,
Ruth,Negga,1981-05-04,Ethiopia,,2003.0,
Dick,Richards,1936-01-01,United States,,,
Buffy,Sainte-Marie,1941-02-20,United States,,1963.0,2023.0
Bo,Persson,,,,1979.0,
Emeric,Pressburger,1902-12-05,Austria-Hungary,1988-02-01,,
Ben,Procter,,,,,
Melissa,Mathison,1950-06-03,United States,2015-11-04,1979.0,2015.0
Scott,Edelstein,,,,,
Jeremy,Molod,,,,,
Peter,Davis,1937-01-02,United States,,,
Catherine,Leterrier,1942-10-26,France,,1973.0,
Myles,Connolly,1897-10-07,United States,1964-07-15,1920.0,1964.0
Ruth,Myers,1940-01-01,United Kingdom,,1967.0,
Diane,Kurys,1948-12-03,France,,1966.0,
Terry,Rawlings,1933-11-04,United Kingdom,2019-04-01,1962.0,2004.0
A,Sullen,1971-09-08,United States,,1994.0,
Ralph,Hurst,1917-02-18,Georgia,1972-07-26,1937.0,1972.0
Baz,Luhrmann,1962-09-17,Australia,,1982.0,
Michael,Carter,,,2004-09-01,1984.0,2004.0
The,Weeknd,1990-02-16,Canada,,2009.0,
Michael,Tollin,,United States,,1982.0,
William,Gray,1896-08-26,United States,1946-12-16,1929.0,1938.0
Philip,Jefferies,1925-05-31,United States,1987-04-06,1954.0,1987.0
Vincente,Minnelli,1903-02-28,United States,1986-07-25,1919.0,1976.0
Bob,Godfrey,1921-05-27,Australia,2013-02-01,,
Fred,Haines,1936-02-27,United States,2008-05-04,,
Morton,Schindel,1918-04-23,United States,2016-08-20,1948.0,2016.0
Justine,Triet,1978-07-17,France,,2007.0,
Kenneth,Smith,,,,1980.0,2003.0
Chaim,Topol,1935-09-09,Palestine,2023-03-01,1957.0,2015.0
Wally,Pfister,1961-07-08,United States,,1988.0,
Samuel,Comer,1893-07-13,United States,1974-12-27,1934.0,1968.0
John,Jackson,,,,1991.0,
Frank,Perry,1930-08-21,United States,1995-08-29,1955.0,1992.0
Ron,Howard,1954-03-01,United States,,1959.0,
Matthew,Libatique,1968-07-19,United States,,1993.0,
Olle,Nordemar,1914-07-25,Sweden,1999-02-01,1932.0,1983.0
Leonardo,DiCaprio,1974-11-11,United States,,1989.0,
Owen,Wilson,1968-11-18,United States,,1994.0,
Jean,René,1983-02-22,France,,,
Anthony,Newley,1931-09-24,United Kingdom,1999-04-01,1947.0,1999.0
Maren,Ade,1976-12-12,Germany,,2000.0,
Henry,Blanke,1901-12-30,Germany,1981-05-28,,
Charles,Rice,,,,1960.0,1963.0
JoAnne,Sellar,1963-01-01,United Kingdom,,,
Jack,Lemmon,1925-02-08,United States,2001-06-27,1949.0,2001.0
Alain,Gagnol,1967-01-01,France,,1997.0,
Piper,Laurie,1932-01-22,United States,2023-10-14,1949.0,2023.0
Emma,Thompson,1959-04-15,United Kingdom,,1982.0,
Eric,Orbom,1915-07-06,Sweden,1959-05-23,1950.0,1959.0
Andrew,Lesnie,1956-01-01,Australia,2015-04-01,1978.0,2014.0
Michael,Ford,1928-06-11,United Kingdom,2018-05-01,1960.0,1999.0
Kevin,Macdonald,1967-10-28,Scotland,,1994.0,
Dev,Patel,1990-04-23,United Kingdom,,2006.0,
John,Houseman,1902-09-22,Romania,1988-10-31,1930.0,1988.0
Callie,Crossley,,United States,,,
Wendy,Hiller,1912-08-15,United Kingdom,2003-05-01,1935.0,1993.0
Charles,Clarke,1899-03-10,United States,1983-07-01,1920.0,1920.0
Greg,Orloff,,,,1979.0,
George,Amy,1903-01-15,United States,1986-12-18,,
Joseph,LaShelle,1900-07-09,United States,1989-08-20,,
Maxence,Dussère,,,,,
Alan,Silvestri,1950-03-26,United States,,1972.0,
Hugh,McCollum,1900-03-09,United States,1968-03-16,1929.0,1960.0
Paul,McCartney,1942-06-18,United Kingdom,,1957.0,
Ruth,Carter,1960-04-10,United States,,1982.0,
Stirling,Silliphant,1918-01-16,United States,1996-04-26,,
Deborah,Landis,1952-05-26,,,1977.0,2010.0
Jack,Solomon,1913-03-08,United States,2002-11-08,1953.0,1991.0
Mark,Warner,1954-02-24,,,1978.0,
Judy,Garland,1922-06-10,United States,1969-06-22,1924.0,1969.0
Aron,Warner,,United States,,1984.0,
David,Blewitt,1928-08-07,United States,2010-07-08,,
Kirk,Simon,1954-07-25,United States,2018-04-14,1984.0,2018.0
Dorothy,Fields,1904-07-15,United States,1974-03-28,,
Lawrence,Lasker,1949-10-07,United States,,,
Mary,Blige,1971-01-11,United States,,1988.0,
David,Parfitt,1958-07-08,United Kingdom,,1971.0,
Edward,Bond,1934-07-18,United Kingdom,2024-03-01,,
George,Burns,1896-01-20,United States,1996-03-09,1902.0,1996.0
Frédéric,Back,1924-04-08,United States,2013-12-24,1946.0,1993.0
Doug,Mowat,,,,1986.0,
Stéphanie,Guillon,,,,,
Harry,Sukman,1912-12-02,United States,1984-12-02,,
William,Murphy,1908-01-09,United States,1970-07-02,,
Joslyn,Barnes,,,,,
Pamela,Wallace,1949-01-01,United States,,,
Pippa,Harris,1967-01-01,United Kingdom,,,
Albert,Berger,,,,,
Kate,Winslet,1975-10-05,United Kingdom,,1991.0,
Lisa,Blount,1957-01-01,United States,2010-10-25,1977.0,2010.0
Gregg,Landaker,1951-01-01,,,1979.0,2017.0
Gene,Cantamessa,1931-02-17,United States,2011-11-08,1969.0,1999.0
Melissa,McCarthy,1970-08-26,United States,,1997.0,
Duke,Ellington,1899-04-29,United States,1974-05-24,1914.0,1974.0
George,Montgomery,1899-09-23,,1951-03-05,1941.0,1951.0
King,Vidor,1894-02-08,United States,1982-11-01,1913.0,1980.0
Anders,Jensen,1972-04-06,Denmark,,,
Rickard,Göransson,1983-10-22,,,2007.0,
Mikael,Salomon,1945-02-24,Denmark,,1963.0,2021.0
Yves,Piat,,France,,2001.0,
Jeff,Chandler,1918-12-15,United States,1961-06-17,1945.0,1961.0
Agnieszka,Holland,1948-11-28,Poland,,1973.0,
Mary,Nyberg,1923-02-07,United States,1979-09-19,1953.0,1955.0
Robert,Swarthe,1942-09-06,,,1968.0,1983.0
Lora,Hirschberg,1963-01-01,United States,,1990.0,
Nicholas,Musuraca,1892-10-25,Italy,1975-09-03,1922.0,1966.0
Ryan,Tudhope,,,,,
David,Bradbury,,,,1972.0,
Peter,Handford,1919-03-21,United Kingdom,2007-11-01,,
Audrey,Hepburn,1929-05-04,Belgium,1993-01-01,1948.0,1989.0
Elizabeth,Reinhardt,1909-01-21,United States,1954-01-21,,
Consolata,Boyle,,,,1984.0,
Ava,DuVernay,1972-08-24,United States,,,
Ruggero,Maccari,1919-06-28,Italy,1989-05-01,,
Franz,Waxman,1906-12-24,Germany,1967-02-24,,
Paul,Haggis,1953-03-10,Canada,,1975.0,
Al,Ham,1925-02-06,United States,2001-10-04,,
Mayes,Rubeo,1962-01-01,Mexico,,1986.0,
Ted,Kent,1901-10-06,United States,1986-06-17,1927.0,1967.0
Martin,Zandvliet,1971-01-07,Denmark,,2002.0,
Samuel,Taylor,1912-06-13,United States,2000-05-26,,
Ariane,Mnouchkine,1939-03-03,France,,1964.0,
Nelson,Gidding,1919-09-15,United States,2004-05-02,,
Adrienne,Fazan,1906-05-09,Germany,1986-08-23,,
Danny,Glicker,,,,,
Chris,Tashima,1960-03-24,United States,,1985.0,
Luciana,Arrighi,1940-01-01,Brazil,,1965.0,
Mack,Gordon,1904-06-24,,1959-02-28,,
Donald,Stewart,1930-01-24,United States,1980-08-02,,
Zachary,Heinzerling,1984-01-01,United States,,,
Nicolaj,Arcel,1972-08-25,Denmark,,1999.0,
Jane,Wyman,1917-01-05,United States,2007-09-10,1934.0,1993.0
Paolo,Sorrentino,1970-05-31,Italy,,1994.0,
William,McCaughey,1929-12-12,United States,2000-05-26,1970.0,1992.0
Gillian,Welch,1967-10-02,United States,,1996.0,
Jill,Bilcock,1948-01-01,Australia,,,
Jean-Xavier,Lestrade,1963-07-01,France,,1989.0,
Ru,Kuwahata,,,,2003.0,
John,Tribby,1903-10-30,United States,1983-02-01,1929.0,1951.0
Vivien,Leigh,1913-11-05,India,1967-07-01,1935.0,1967.0
Mischa,Auer,1905-11-17,Russia,1967-03-01,1925.0,1967.0
Sam,Shepard,1943-11-05,United States,2017-07-27,1963.0,2017.0
Joe,Alves,1936-05-21,United States,,1956.0,2000.0
Stéphane,Ceretti,1973-09-24,France,,1996.0,
Scott,Rudin,1958-07-14,United States,,1978.0,2021.0
Jordan,Horowitz,1980-04-10,United States,,,
Moctesuma,Esparza,1949-03-12,United States,,1973.0,
Lynne,Littman,1941-06-26,United States,,,
Trisha,Edwards,,,,1980.0,2009.0
Pandro,Berman,1905-03-28,United States,1996-07-13,1923.0,1970.0
Alex,Garland,1970-05-26,United Kingdom,,1996.0,
Hughes,Winborne,1952-01-03,United States,,1980.0,
Charles,Guggenheim,1924-03-31,United States,2002-10-09,1952.0,2002.0
Sjón,Sigurðsson,1962-08-27,Iceland,,,
Joseph,Schildkraut,1896-03-22,Austria-Hungary,1964-01-01,1915.0,1964.0
James,Mather,,,,1984.0,
Dick,Pope,1947-08-03,United Kingdom,2024-10-01,1968.0,2024.0
James,Monaco,1885-01-13,Italy,1945-10-16,1911.0,1945.0
Michael,Fink,,,,,
Vincent,Korda,1897-06-22,Austria-Hungary,1979-01-01,1918.0,1964.0
Freddie,Francis,1917-12-22,United Kingdom,2007-03-01,1937.0,1999.0
Merian,Cooper,1893-10-24,United States,1973-04-21,,
Jack,Cardiff,1914-09-18,United Kingdom,2009-04-01,1918.0,2007.0
Johan,Grimonprez,,,,,
Bille,August,1948-11-09,Denmark,,1978.0,
Anthony,Hopkins,1937-12-31,Wales,,1960.0,
Bob,Gale,1951-05-25,United States,,1973.0,
Jan,Stussy,1921-08-13,United States,1990-07-31,,
Shelley,Winters,1920-08-18,United States,2006-01-14,1936.0,1999.0
Russell,Shearman,1908-04-27,United States,1956-05-05,1946.0,1956.0
Christopher,Benstead,,United Kingdom,,2004.0,
Cheryl,Carasik,1952-01-01,,,1985.0,
Ryusuke,Hamaguchi,1978-12-16,Japan,,2001.0,
Carole,Eastman,1934-02-19,United States,2004-02-13,,
Mildred,Griffiths,1894-01-20,United States,1949-05-24,1943.0,1948.0
Boris,Kaufman,1906-08-24,Russia,1980-06-24,,
Nick,Adams,1931-07-10,United States,1968-02-07,1952.0,1968.0
Michael,Stringer,1924-07-26,Singapore,2004-03-01,1952.0,1990.0
Frank,Loesser,1910-06-29,United States,1969-07-28,1931.0,1968.0
Brandon,Proctor,,,,,
Christoph,Waltz,1956-10-04,Austria,,1977.0,
Paul,Hirsch,1945-11-14,United States,,1970.0,
Lionel,Newman,1916-01-04,United States,1989-02-03,1932.0,1985.0
Allen,Hall,1946-05-04,United States,,1979.0,
Karl,Freund,1890-01-16,Austria-Hungary,1969-05-03,1907.0,1960.0
Jon,Harris,1967-07-11,United Kingdom,,,
John,Garfield,1913-03-04,United States,1952-05-21,1932.0,1952.0
Arthur,Ibbetson,1922-09-08,United Kingdom,1997-10-01,1949.0,1986.0
Douglas,McGrath,1958-02-12,United States,2022-11-03,1980.0,2022.0
Jim,Miller,1955-01-01,United States,,,
Fábio,Barreto,1957-06-06,Brazil,2019-11-20,1977.0,2009.0
Joaquin,Phoenix,1974-10-28,Puerto Rico,,1982.0,
Cedric,Gibbons,1890-03-23,United States,1960-07-26,1919.0,1956.0
Tom,Wilkinson,1948-02-05,United Kingdom,2023-12-01,1976.0,2023.0
R.,White,,,,1996.0,
Anthony,Veiller,1903-06-23,United States,1965-06-27,1934.0,1964.0
Isaac,Hayes,1942-08-20,United States,2008-08-10,1950.0,2008.0
Bob,Dylan,1941-05-24,United States,,1957.0,
Fred,Feitshans Jr.,1909-09-10,United States,1987-12-21,,
Robert,Richardson,1955-08-27,United States,,1981.0,
Son,Lux,1979-01-24,United States,,,
Robert,Thompson,1924-11-03,United States,2004-02-11,,
Don,Hertzfeldt,1976-08-01,United States,,,
Clive,Owen,1964-10-03,United Kingdom,,1987.0,
Walter,Huston,1883-04-05,Canada,1950-04-07,1902.0,1950.0
Alfred,Herman,1889-09-08,United States,1973-12-01,1933.0,1952.0
Saul,Chaplin,1912-01-19,United States,1997-11-15,1931.0,1997.0
Gladys,Lehman,1892-01-24,United States,1993-04-07,,
Danny,Michael,,,,1976.0,
Robert,Lewin,1920-05-09,United States,2004-08-28,1956.0,1988.0
Richard,Condie,1942-01-01,Canada,,1971.0,
Sam,Rockwell,1968-11-05,United States,,1988.0,
Tom,Barry,1885-07-31,United States,1931-11-07,,
Tom,Tully,1908-08-21,United States,1982-04-27,1937.0,1973.0
Lyle,Reifsnider,1901-08-11,United States,1980-12-09,1946.0,1962.0
István,Szabó,1938-02-18,Hungary,,1959.0,
John,Hawkes,,,,1984.0,
Wolfgang,Petersen,1941-03-14,Germany,2022-08-01,1953.0,2016.0
Edward,Heyman,1907-03-14,,1981-10-16,,
Florence,Klotz,1920-01-28,United States,2006-11-01,,
Ted,Caplan,,,,,
Ezio,Frigerio,1930-07-16,Italy,2022-02-01,,
Lexi,Alexander,1974-08-23,Germany,,2002.0,
Sławomir,Fabicki,1970-04-05,Poland,,1997.0,
Bo,Welch,,United States,,1979.0,
Carol,Reed,1906-12-30,United Kingdom,1976-04-01,1935.0,1972.0
Jonathan,Hardy,1940-09-20,New Zealand,2012-07-01,1971.0,2012.0
Joss,Whedon,1964-06-23,United States,,1989.0,
Henry,Hathaway,1898-03-13,United States,1985-02-11,1925.0,1974.0
Peter,Sellers,1925-09-08,United Kingdom,1980-07-01,1925.0,1980.0
Josh,Brolin,1968-02-12,United States,,1977.0,
Bennett,Miller,1966-12-30,United States,,1998.0,
Zhang,Yimou,1950-11-14,China,,,
Charles,Fox,1940-10-30,United States,,1965.0,
Oliver,Tarney,,,,1997.0,
Steven,Morrow,,,,1994.0,
Oren,Moverman,1966-07-04,Israel,,,
Johnny,Green,1908-10-10,United States,1989-05-15,1930.0,1989.0
Jeremy,Kleiner,1976-01-01,,,2000.0,
John,Mack,1927-08-12,,2021-12-24,1956.0,1993.0
David,Lean,1908-03-25,United Kingdom,1991-04-01,1930.0,1991.0
Gary,Roach,1964-02-05,,,,
Toshio,Suzuki,1948-08-19,Japan,,1972.0,
Charles,Schoenbaum,1893-04-28,United States,1951-01-21,,
R.,Layton,1884-04-16,United Kingdom,1941-11-01,1937.0,1940.0
Sean,Phillips,,,,1989.0,
Christian,Rivers,1974-01-01,New Zealand,,1992.0,
Marie-Christine,Barrault,1944-03-21,France,,1967.0,
Holly,Hunter,1958-03-20,United States,,1981.0,
Randall,Wallace,1949-07-28,United States,,,
Frank,Hughes,1893-06-14,United States,1947-04-26,1927.0,1947.0
Julius,Epstein,1909-08-22,United States,2000-12-30,,
Joe,Letteri,1957-01-01,United States,,1989.0,
Elizabeth,Haffenden,1906-04-18,United Kingdom,1976-05-01,1934.0,1975.0
Ivan,Sharrock,1941-07-17,,,1967.0,
Jerry,Wald,1911-09-16,United States,1962-07-13,1932.0,1962.0
George,Folsey,1898-07-02,United States,1988-11-01,1919.0,1976.0
Johnny,Mandel,1925-11-23,United States,2020-06-29,1938.0,2020.0
Ellen,Kent,,,,1992.0,
Akiva,Goldsman,1962-07-07,United States,,1994.0,
Dorothy,Fadiman,1939-06-03,United States,,,
Philip,Lathrop,1912-10-22,United States,1995-04-12,,
Eva,Bahr,1968-12-17,,,,
Charlotte,Gournerie,1989-01-15,France,,2012.0,
Douglas,Murray,,,,,
Peter,Devlin,,,,1988.0,
Yang,Jin-mo,,South Korea,,2005.0,
William,Sandell,1950-08-09,United States,,1973.0,
Christian,Berger,1945-01-13,Germany,,1968.0,
David,Giammarco,,,,1985.0,
Martin,Poll,1922-11-24,United States,2012-04-14,,
Robert,Stack,1919-01-13,United States,2003-05-14,1934.0,2003.0
Alison,Snowden,1958-04-04,United Kingdom,,,
Sophia,Allison,1987-01-01,United States,,,
John,Farrar,1946-11-08,Australia,,1961.0,
Stephen,Rivele,1949-05-06,United States,2024-05-17,,
Gus,Kahn,1886-11-06,Germany,1941-10-08,,
Patricia,Dehaney,,,,,
Counting,Crows,1966-08-26,United States,,1994.0,1994.0
Harry,Chandlee,1882-12-07,United States,1956-08-03,1914.0,1949.0
Josie,MacAvin,1919-01-01,Ireland,2005-01-01,1943.0,2002.0
Suzi,Battersby,,,,,
Madeline,Fontaine,,France,,,
Robin,Lehman,1936-12-03,,,,
Brad,Bird,1957-09-24,United States,,1979.0,
Dudley,Murphy,1897-07-10,United States,1968-02-22,,
Robert,Ryan,1909-11-11,United States,1973-07-11,1940.0,1973.0
Edwin,Imazu,1897-11-12,Japan,1979-05-01,1927.0,1967.0
Ben,Hecht,1894-02-28,United States,1964-04-18,1916.0,1964.0
Neil,Young,1945-11-12,Canada,,1963.0,
Steven,Haft,1949-01-01,United States,,,
Terry,Rossio,1960-07-02,,,1989.0,
Patrick,McClung,,,,1979.0,2011.0
Luca,Guadagnino,1971-08-10,Italy,,1997.0,
William,Daniels,1901-12-01,United States,1970-06-14,1919.0,1970.0
Austin,Butler,1991-08-17,United States,,2005.0,
Andrew,Jones,,,,1997.0,
Oswald,Morris,1915-11-22,United Kingdom,2014-03-01,1932.0,1982.0
Scott,Conrad,1944-01-01,,,,
Ernest,Pintoff,1931-12-15,United States,2002-01-01,,
Fredric,Hope,1900-01-22,United States,1937-04-20,1927.0,1937.0
Akira,Kurosawa,1910-03-23,Japan,1998-09-06,1936.0,1993.0
Peter,Morgan,1963-04-10,United Kingdom,,,
Robert,Mulligan,1925-08-23,United States,2008-12-20,1948.0,1992.0
Richard,Grant,1957-05-05,Eswatini,,1980.0,
Fernanda,Torres,1965-09-15,Brazil,,1979.0,
Samuel,Goldwyn Jr.,1926-09-07,United States,2015-01-09,1948.0,2015.0
Diablo,Cody,1978-06-14,United States,,2003.0,
Van,Polglase,1898-08-25,United States,1968-12-20,1919.0,1957.0
Max,Terr,1889-11-16,Russia,1951-08-02,1918.0,1950.0
Henry,Grace,1907-03-20,,1983-09-16,1935.0,1970.0
Jacques,Rouxel,,,,1981.0,
Maggie,Gyllenhaal,1977-11-16,United States,,1992.0,
Pierre,Schoendoerffer,1928-05-05,France,2012-03-01,,
David,Watkins,,,,,
David,Hall,1905-07-23,Northern Ireland,1964-07-01,1928.0,1965.0
John,Hall,,,1997-06-08,,
Stephen,Schwartz,1948-03-06,United States,,1969.0,
John,Graysmark,1935-03-26,,2010-10-01,1957.0,2005.0
T.J.,Martin,1979-09-07,United States,,2002.0,
Cecil,Lewis,1898-03-29,United Kingdom,1997-01-01,,
Tristan,Versluis,,,,,
Hanif,Kureishi,1954-12-05,United Kingdom,,,
Alan,Bennett,1934-05-09,United Kingdom,,1960.0,
Tim,Rice,1944-11-10,United Kingdom,,1965.0,
Charlie,Noble,,,,,
Juliette,Howell,,,,,
Pato,Pierart,1982-05-28,Chile,,2014.0,
Sol,Siegel,1903-03-30,Russia,1982-12-29,1934.0,1968.0
Faye,Dunaway,1941-01-14,United States,,1962.0,
Philippe,Turlure,,,,,
Sol,Polito,1892-11-12,Italy,1960-05-23,1914.0,1949.0
Marc,Frédérix,1919-01-01,France,2004-01-01,1950.0,1984.0
Kimberlee,Acquaro,,,,,
Emir,Kusturica,1954-11-24,Yugoslavia,,1978.0,
Adrian,Lyne,1941-03-04,United Kingdom,,1976.0,
Bob,Murawski,1964-06-14,United States,,,
Shirley,Kurata,1970-01-01,United States,,,
Barbara,Kopple,1946-07-30,United States,,,
Albert,Brooks,1947-07-22,United States,,1969.0,
Stuart,Gilmore,1909-03-08,United States,1971-11-19,1927.0,1971.0
Paddy,Chayefsky,1923-01-29,United States,1981-08-01,1944.0,1980.0
Joe,Mantell,1915-12-21,United States,2010-09-29,1949.0,1990.0
Valentine,Davies,1905-08-25,United States,1961-07-23,,
Grover,Jones,1893-11-15,United States,1940-09-24,1920.0,1940.0
Rodney,Burke,,,,,
Selma,Vilhunen,1976-01-01,Finland,,1999.0,
Cindy,Carr,,,,1983.0,
David,Hemingson,1964-07-26,United States,,,
Milena,Canonero,1946-07-13,Italy,,1971.0,
Jackie,Haley,1961-07-14,United States,,1967.0,
Richard,Pefferle,1905-01-05,United States,1969-03-07,1942.0,1969.0
Thomas,Varga,,,,1991.0,
Ahmad,Balshe,1984-04-07,Palestine,,2005.0,
John,Dwyer,1935-08-25,United States,2018-09-15,1966.0,2004.0
Elisabeth,Bergner,1897-08-22,Austria-Hungary,1986-05-01,1924.0,1984.0
Hamilton,Luske,1903-10-16,United States,1968-02-19,,
Mary,Zophres,,United States,,1994.0,
